id,bank,category,person,format,difficulty,question,tags
P0001,prophets,Prophets,Adam,multiple_choice,1,What core lesson about faith or character do you take from the story of Prophet Adam? Answer in 1-2 sentences.,"['prophets', 'quran', 'character', 'reflection']"
P0002,prophets,Prophets,Adam,multiple_choice,3,"What major trial or challenge is associated with Prophet Adam, and what does it teach? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0003,prophets,Prophets,Adam,free_response,2,"Which ethical principle is highlighted in the narrative of Prophet Adam (for example patience, gratitude, justice)? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0004,prophets,Prophets,Adam,multiple_choice,5,"Name one key community, setting, or historical context linked to Prophet Adam's mission and explain why it matters. Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0005,prophets,Prophets,Idris,multiple_choice,4,What core lesson about faith or character do you take from the story of Prophet Idris? Answer in 1-2 sentences.,"['prophets', 'quran', 'character', 'reflection']"
P0006,prophets,Prophets,Idris,free_response,1,"What major trial or challenge is associated with Prophet Idris, and what does it teach? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0007,prophets,Prophets,Idris,free_response,5,"Which ethical principle is highlighted in the narrative of Prophet Idris (for example patience, gratitude, justice)? Explain your reasoning step-by-step.","['prophets', 'quran', 'character', 'reflection']"
P0008,prophets,Prophets,Idris,free_response,5,"Name one key community, setting, or historical context linked to Prophet Idris's mission and explain why it matters. Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0009,prophets,Prophets,Nuh,multiple_choice,5,What core lesson about faith or character do you take from the story of Prophet Nuh? Keep it beginner-friendly.,"['prophets', 'quran', 'character', 'reflection']"
P0010,prophets,Prophets,Nuh,free_response,4,"What major trial or challenge is associated with Prophet Nuh, and what does it teach? Explain your reasoning step-by-step.","['prophets', 'quran', 'character', 'reflection']"
P0011,prophets,Prophets,Nuh,short_answer,1,"Which ethical principle is highlighted in the narrative of Prophet Nuh (for example patience, gratitude, justice)? Answer in 4-6 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0012,prophets,Prophets,Nuh,multiple_choice,4,"Name one key community, setting, or historical context linked to Prophet Nuh's mission and explain why it matters. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['prophets', 'quran', 'character', 'reflection']"
P0013,prophets,Prophets,Hud,short_answer,2,What core lesson about faith or character do you take from the story of Prophet Hud? Give 2 examples.,"['prophets', 'quran', 'character', 'reflection']"
P0014,prophets,Prophets,Hud,short_answer,1,"What major trial or challenge is associated with Prophet Hud, and what does it teach? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0015,prophets,Prophets,Hud,short_answer,1,"Which ethical principle is highlighted in the narrative of Prophet Hud (for example patience, gratitude, justice)? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['prophets', 'quran', 'character', 'reflection']"
P0016,prophets,Prophets,Hud,short_answer,5,"Name one key community, setting, or historical context linked to Prophet Hud's mission and explain why it matters. Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0017,prophets,Prophets,Salih,free_response,4,What core lesson about faith or character do you take from the story of Prophet Salih? Include a warning about a common misconception.,"['prophets', 'quran', 'character', 'reflection']"
P0018,prophets,Prophets,Salih,free_response,4,"What major trial or challenge is associated with Prophet Salih, and what does it teach? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0019,prophets,Prophets,Salih,multiple_choice,3,"Which ethical principle is highlighted in the narrative of Prophet Salih (for example patience, gratitude, justice)? Explain your reasoning step-by-step.","['prophets', 'quran', 'character', 'reflection']"
P0020,prophets,Prophets,Salih,short_answer,5,"Name one key community, setting, or historical context linked to Prophet Salih's mission and explain why it matters. Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0021,prophets,Prophets,Ibrahim,multiple_choice,1,What core lesson about faith or character do you take from the story of Prophet Ibrahim? Answer in 1-2 sentences.,"['prophets', 'quran', 'character', 'reflection']"
P0022,prophets,Prophets,Ibrahim,multiple_choice,2,"What major trial or challenge is associated with Prophet Ibrahim, and what does it teach? Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0023,prophets,Prophets,Ibrahim,free_response,2,"Which ethical principle is highlighted in the narrative of Prophet Ibrahim (for example patience, gratitude, justice)? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0024,prophets,Prophets,Ibrahim,short_answer,3,"Name one key community, setting, or historical context linked to Prophet Ibrahim's mission and explain why it matters. Make it suitable for advanced learners.","['prophets', 'quran', 'character', 'reflection']"
P0025,prophets,Prophets,Ismail,multiple_choice,3,What core lesson about faith or character do you take from the story of Prophet Ismail? Answer in 4-6 sentences.,"['prophets', 'quran', 'character', 'reflection']"
P0026,prophets,Prophets,Ismail,short_answer,3,"What major trial or challenge is associated with Prophet Ismail, and what does it teach? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0027,prophets,Prophets,Ismail,multiple_choice,3,"Which ethical principle is highlighted in the narrative of Prophet Ismail (for example patience, gratitude, justice)? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0028,prophets,Prophets,Ismail,multiple_choice,2,"Name one key community, setting, or historical context linked to Prophet Ismail's mission and explain why it matters. Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0029,prophets,Prophets,Ishaq,multiple_choice,2,What core lesson about faith or character do you take from the story of Prophet Ishaq? Answer in 4-6 sentences.,"['prophets', 'quran', 'character', 'reflection']"
P0030,prophets,Prophets,Ishaq,short_answer,4,"What major trial or challenge is associated with Prophet Ishaq, and what does it teach? Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0031,prophets,Prophets,Ishaq,multiple_choice,5,"Which ethical principle is highlighted in the narrative of Prophet Ishaq (for example patience, gratitude, justice)? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0032,prophets,Prophets,Ishaq,multiple_choice,3,"Name one key community, setting, or historical context linked to Prophet Ishaq's mission and explain why it matters. Answer in 1-2 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0033,prophets,Prophets,Lut,free_response,1,What core lesson about faith or character do you take from the story of Prophet Lut? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['prophets', 'quran', 'character', 'reflection']"
P0034,prophets,Prophets,Lut,short_answer,3,"What major trial or challenge is associated with Prophet Lut, and what does it teach? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0035,prophets,Prophets,Lut,free_response,5,"Which ethical principle is highlighted in the narrative of Prophet Lut (for example patience, gratitude, justice)? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['prophets', 'quran', 'character', 'reflection']"
P0036,prophets,Prophets,Lut,free_response,4,"Name one key community, setting, or historical context linked to Prophet Lut's mission and explain why it matters. Keep it beginner-friendly.","['prophets', 'quran', 'character', 'reflection']"
P0037,prophets,Prophets,Yaqub,multiple_choice,4,What core lesson about faith or character do you take from the story of Prophet Yaqub? Answer in 4-6 sentences.,"['prophets', 'quran', 'character', 'reflection']"
